user	item	time	rating
1	2918	978302124	4
1	531	978302149	4
1	3114	978302174	4
1	2791	978302188	4
1	1029	978302205	5
1	594	978302268	4
1	2398	978302281	4
1	1545	978824139	4
1	527	978824195	5
2	982	978299269	4
2	2194	978299297	4
2	2268	978299297	5
2	1442	978299297	4
2	3255	978299321	4
2	1096	978299386	4
2	1124	978299418	5
2	1246	978299418	5
2	1537	978299620	4
2	1188	978299620	4
2	2396	978299641	4
2	356	978299686	5
2	589	978299773	4
2	2028	978299773	4
2	2571	978299773	4
3	2470	978297777	4
3	2115	978297777	4
3	1049	978297805	4
3	552	978297837	4
3	2735	978297867	4
3	1136	978298079	5
3	3421	978298147	4
4	2947	978294230	5
4	1214	978294260	4
4	3418	978294260	4
4	3702	978294260	4
5	3163	978244852	5
5	1171	978244852	4
5	3267	978244893	4
5	32	978244962	4
5	1529	978245037	4
5	3260	978245065	4
5	29	978245065	5
5	1095	978245065	4
5	1635	978245314	4
5	866	978245334	4
5	1734	978245334	4
5	2890	978245445	4
5	2323	978245445	4
5	1535	978245513	4
5	1759	978245513	4
5	1517	978245568	4
6	1380	978237691	5
6	1035	978237767	5
6	3604	978237767	5
6	1947	978237767	5
6	914	978237767	5
6	1028	978237767	4
6	368	978237909	4
6	383	978237909	4
6	266	978237909	4
6	3074	978238036	5
7	6	978234842	4
7	733	978234842	5
7	474	978234842	5
7	1580	978234842	4
7	861	978234874	4
8	1120	978230391	4
8	1411	978230391	5
8	3246	978230391	4
8	3147	978230550	5
8	2442	978230550	4
8	1840	978230577	4
8	150	978230611	4
8	524	978230611	5
8	1678	978230649	5
8	3105	978230666	4
8	14	978230756	4
8	1357	978230800	4
8	1721	978230800	5
8	1682	978230852	4
8	3186	978230852	4
8	1653	978230886	5
8	650	978230943	5
9	223	978226165	4
9	1923	978226165	5
9	3253	978226165	4
9	2166	978226197	4
9	1358	978226207	4
9	3255	978226216	4
9	1584	978226233	5
9	1466	978226248	4
9	1721	978226248	5
9	778	978226248	5
9	1060	978226261	4
9	300	978226277	4
9	1777	978226291	4
9	2890	978226291	5
10	2431	978229147	5
10	2133	978229171	4
10	1016	978229171	5
10	2436	978229227	5
10	1633	978229266	4
10	938	978229273	4
10	1380	978229336	5
10	344	978229343	4
10	1573	978229389	5
10	2054	978229409	4
10	1135	978229435	4
10	2005	978229459	4
10	2047	978229459	4
10	435	978229498	4
10	1371	978229517	4
10	351	978229562	4
10	1125	978229562	4
10	2002	978229562	4
10	1409	978229624	5
10	2093	978229624	4
10	2049	978229624	5
10	2316	978229666	4
10	2424	978229666	5
10	830	978229716	5
10	282	978229716	5
10	248	978229811	5
10	3812	978229959	4
10	2497	978229979	4
10	1586	978229979	4
10	2136	978230063	4
10	48	978230090	4
10	2375	978230090	4
10	208	978230132	4
10	1690	978230253	4
10	2770	978230253	4
10	765	978230330	4
10	1959	978230330	5
10	542	978230386	4
10	203	978230426	4
10	1583	978230461	4
10	2826	978230540	4
10	2405	978230754	4
10	2072	978230923	4
10	520	978230923	4
10	3948	978295480	4
10	898	979167630	4
10	1265	979167660	5
10	1197	979167660	5
10	2396	979167660	5
10	899	979167758	4
10	2125	979167795	5
10	3668	979167795	4
10	2108	979167867	5
10	357	979167887	5
10	1286	979167906	5
10	902	979167926	5
10	339	979167945	5
10	1059	979168008	5
10	1339	979168036	5
10	3108	979168036	5
10	260	979168077	5
11	1136	978902965	4
11	1244	978903024	4
11	1080	978903076	4
11	1288	978903107	4
11	2918	978903129	5
11	2791	978903186	4
11	2766	978903209	4
11	356	978903209	5
11	2174	978903278	4
11	1197	978903297	5
11	3448	978903351	4
11	3608	978903365	4
11	2109	978903658	5
11	3129	978903701	4
12	1193	978220179	4
12	111	978220179	5
12	593	978220193	5
13	1198	978202201	5
13	919	978202201	4
13	1204	978202201	5
13	1287	978202219	5
13	260	978202219	5
13	1259	978202246	4
13	590	978202246	4
13	1210	978202282	4
14	3081	978201003	4
14	2396	978201003	4
14	296	978201244	5
15	3723	978198394	4
15	805	978198420	4
15	1396	978198442	4
15	1672	978198442	4
15	1625	978198456	4
15	539	978198469	4
15	500	978198493	4
15	832	978198581	4
15	1527	978198581	4
15	1092	978198581	4
15	3108	978198616	4
15	344	978198640	4
15	553	978198649	4
15	2433	978198735	4
15	1370	978198772	4
15	1810	978198834	4
15	2567	978198847	4
15	1909	978198907	4
15	266	978198907	4
15	1193	978199279	4
16	2369	978174535	5
16	3175	978174568	4
16	2761	978174639	4
17	1206	978160490	5
17	1240	978160490	5
17	3527	978160546	4
17	2664	978160546	5
